model,parameter,repeat,true_value,estimate,error
prototype_similarity,side_bias,33,-1.475735,-1.567271,-0.09153600000000006
prototype_similarity,theta_alt,34,0.477828,0.539066,0.06123800000000007
prototype_similarity,alt_weight,34,0.423171,0.412926,-0.010245000000000004
prototype_similarity,beta,34,8.914092,9.087407,0.17331500000000055
prototype_similarity,side_bias,34,1.207017,0.804222,-0.402795
prototype_similarity,theta_alt,35,0.633473,0.711607,0.07813400000000004
prototype_similarity,alt_weight,35,0.629751,0.506994,-0.122757
prototype_similarity,beta,35,1.496277,3.891193,2.394916
prototype_similarity,side_bias,35,-0.459159,-0.686277,-0.22711800000000004
prototype_similarity,theta_alt,36,0.625264,0.726246,0.1009819999999999
prototype_similarity,alt_weight,36,0.775741,0.99,0.21425899999999998
prototype_similarity,beta,36,1.361729,0.753078,-0.6086509999999999
prototype_similarity,side_bias,36,0.439447,0.20062,-0.23882699999999998
prototype_similarity,theta_alt,37,0.606405,0.591121,-0.015283999999999964
prototype_similarity,alt_weight,37,0.813192,0.857795,0.04460299999999995
prototype_similarity,beta,37,7.934043,6.288894,-1.645149
prototype_similarity,side_bias,37,-1.781192,-1.596444,0.18474800000000013
prototype_similarity,theta_alt,38,0.728996,0.709615,-0.01938099999999998
prototype_similarity,alt_weight,38,0.476883,0.508276,0.03139299999999995
prototype_similarity,beta,38,9.843955,7.074014,-2.7699409999999993
prototype_similarity,side_bias,38,-1.408422,-1.308175,0.10024699999999998
prototype_similarity,theta_alt,39,0.759484,0.893192,0.13370799999999994
prototype_similarity,alt_weight,39,0.293006,0.438376,0.14537
prototype_similarity,beta,39,1.909842,1.39222,-0.517622
prototype_similarity,side_bias,39,0.578943,0.405114,-0.173829
