scheme,held_out_run,eval,name,kind,source_run,label,n_params,elpd_loo,elpd_se,elpd_rank,elpd_diff,elpd_dse,stacking_weight,loo_unreliable,n_eval,rmse,brier,accuracy,r2_trial,r2_stimulus,logpd,pseudo_r2_deviance
heldout,1,heldout_train,seed_encoding_compressibility,seed,,Encoding compressibility,4,-5208.742436135827,15.300698208785153,4,351.53067748866386,25.40242077974029,0.0,False,7680,0.49229842040597216,0.2423577347342153,0.5841145833333333,0.030458533230725227,0.20906405421980245,-5206.494909734936,0.02187472159856607
heldout,1,heldout_oos,seed_encoding_compressibility,seed,,Encoding compressibility,4,,,,,,,,3840,0.4758828864538018,0.226464521619602,0.6434895833333333,0.09310251414069004,0.3836600762384573,-2477.0352621482716,0.06860314027944625
heldout,1,heldout_train,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,-4936.340884843821,26.869435539352107,1,79.12912619665777,15.540113865876917,0.15544185909630584,False,7680,0.4746399383524492,0.22528307107921677,0.6455729166666667,0.09876497479246904,0.4992339056285261,-4931.237468970763,0.07358633671531456
heldout,1,heldout_oos,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,,,,,,,,3840,0.45917218894075224,0.2108390990966419,0.6794270833333333,0.15567591990075325,0.640861521791475,-2347.0913148016816,0.11746372226136803
heldout,1,heldout_train,seed_window_typicality,seed,,Window typicality,4,-5185.2297414478435,16.533487645259388,3,328.0179828006799,26.30150988097431,0.02430392273490931,False,7680,0.490899462175373,0.24098228196407045,0.5720052083333333,0.035960971589874546,0.24566172018178756,-5183.065634181345,0.02627629445533608
heldout,1,heldout_oos,seed_window_typicality,seed,,Window typicality,4,,,,,,,,3840,0.4772598738744677,0.22777698721067285,0.6328125,0.08784662798109832,0.36413773301312424,-2485.848630918377,0.06528920118399872
heldout,1,heldout_train,run1_minkowski_typicality,winner,1,Minkowski accumulated typicality (run 1),6,-4857.211758647163,29.405937902528184,0,0.0,0.0,0.8202542181746214,False,7680,0.4693776639865347,0.22031539144945628,0.6440104166666667,0.11863795883384809,0.6041111154702252,-4851.076561467081,0.08864587510501842
heldout,1,heldout_oos,run1_minkowski_typicality,winner,1,Minkowski accumulated typicality (run 1),6,,,,,,,,3840,0.4533632695114622,0.2055382541421227,0.6893229166666667,0.1769036288937691,0.7264116159516657,-2300.7995653441194,0.13487001063142168
heldout,2,heldout_train,seed_prototype_similarity,seed,,Prototype similarity,4,-4909.8317872639755,28.20492745718276,3,147.3822409476913,14.900073886557399,5.724390616459234e-11,False,7680,0.4725013158628883,0.22325749349216092,0.64375,0.10653224767642033,0.49894216730782337,-4905.662771241503,0.07814089931677237
heldout,2,heldout_oos,seed_prototype_similarity,seed,,Prototype similarity,4,,,,,,,,3840,0.4738353368580418,0.22451992645537394,0.63359375,0.10101286928880804,0.5190293852973538,-2459.0918654588263,0.07544137618787838
heldout,2,heldout_train,seed_encoding_compressibility,seed,,Encoding compressibility,4,-5087.10737712948,21.687084138045517,4,324.6578308131953,25.86817865522191,6.492171540632157e-12,False,7680,0.48426095239994504,0.23450867001930184,0.603515625,0.061505479501880234,0.2891692150930837,-5084.677740991889,0.044500882316345414
heldout,2,heldout_oos,seed_encoding_compressibility,seed,,Encoding compressibility,4,,,,,,,,3840,0.4889799242641206,0.23910136633334517,0.6057291666666667,0.04262817709472533,0.2808842052332786,-2577.8733423973054,0.030782435057949975
