model,parameter,repeat,true_value,estimate,error
bayesian_diagnosticity,beta,31,4.739709,6.394856,1.6551469999999995
bayesian_diagnosticity,side_bias,31,0.061263,-0.76041,-0.821673
bayesian_diagnosticity,alt_prior,32,0.263012,0.220295,-0.04271700000000003
bayesian_diagnosticity,bias_share,32,0.232715,0.351372,0.11865700000000001
bayesian_diagnosticity,beta,32,6.953052,7.738603,0.7855510000000008
bayesian_diagnosticity,side_bias,32,-1.448339,-1.332232,0.11610699999999996
bayesian_diagnosticity,alt_prior,33,0.754842,0.524755,-0.23008700000000004
bayesian_diagnosticity,bias_share,33,0.817468,0.608741,-0.208727
bayesian_diagnosticity,beta,33,0.821549,2.063333,1.241784
bayesian_diagnosticity,side_bias,33,-1.289772,-1.029261,0.26051099999999994
bayesian_diagnosticity,alt_prior,34,0.209727,0.248358,0.038631
bayesian_diagnosticity,bias_share,34,0.430904,0.28929,-0.14161400000000002
bayesian_diagnosticity,beta,34,9.470332,8.998693,-0.4716390000000015
bayesian_diagnosticity,side_bias,34,1.782976,1.89725,0.11427400000000021
bayesian_diagnosticity,alt_prior,35,0.2929,0.328324,0.03542400000000001
bayesian_diagnosticity,bias_share,35,0.514855,0.396057,-0.11879799999999996
bayesian_diagnosticity,beta,35,6.752965,6.054698,-0.6982669999999995
bayesian_diagnosticity,side_bias,35,0.636999,0.494646,-0.142353
bayesian_diagnosticity,alt_prior,36,0.01683,0.087869,0.071039
bayesian_diagnosticity,bias_share,36,0.679925,0.42992,-0.250005
bayesian_diagnosticity,beta,36,3.731873,5.184494,1.4526209999999997
bayesian_diagnosticity,side_bias,36,1.018103,0.933293,-0.08480999999999994
bayesian_diagnosticity,alt_prior,37,0.436187,0.466585,0.030398000000000036
bayesian_diagnosticity,bias_share,37,0.865878,0.59129,-0.27458800000000005
bayesian_diagnosticity,beta,37,3.704869,4.571548,0.866679
bayesian_diagnosticity,side_bias,37,-0.196705,-0.233709,-0.03700400000000001
bayesian_diagnosticity,alt_prior,38,0.142061,0.217998,0.075937
bayesian_diagnosticity,bias_share,38,0.560713,0.323058,-0.237655
bayesian_diagnosticity,beta,38,7.790195,5.844482,-1.9457129999999996
bayesian_diagnosticity,side_bias,38,0.533115,0.808967,0.275852
bayesian_diagnosticity,alt_prior,39,0.731619,0.784305,0.05268600000000001
bayesian_diagnosticity,bias_share,39,0.852596,0.539432,-0.313164
bayesian_diagnosticity,beta,39,10.837922,9.369289,-1.4686330000000005
bayesian_diagnosticity,side_bias,39,-1.613023,-0.154082,1.458941
